label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
consumer5;heat_exchanger_simple;['network consumer'];[None];[-4999.999999999999];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-4999.999999999999;True;False;0.8832620501499023;False;False;31517028759.740242;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152748;False;m;nan;False;-14.730259568983186;False;nan;False;nan;False;default;default;default
consumer15;heat_exchanger_simple;['network consumer'];[None];[-40000.00000000001];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-40000.00000000001;True;False;0.8473153606814278;False;False;497836043.57966185;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF1525C0;False;m;nan;False;-117.82208441100256;False;nan;False;nan;False;default;default;default
consumer17;heat_exchanger_simple;['network consumer'];[None];[-14500.000000000002];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-14500.000000000002;True;False;0.8555350037533686;False;False;3369044522.2572007;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF1527F0;False;m;nan;False;-42.78738411075133;False;nan;False;nan;False;default;default;default
consumer21;heat_exchanger_simple;['network consumer'];[None];[-17500.0];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-17500.0;True;False;0.879617416440238;False;False;2775226335.4430585;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152710;False;m;nan;False;-51.49348598484413;False;nan;False;nan;False;default;default;default
consumer22;heat_exchanger_simple;['network consumer'];[None];[-10000.000000000002];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-10000.000000000002;True;False;0.8794797179997756;False;False;8143494195.6229725;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152588;False;m;nan;False;-29.44514643695994;False;nan;False;nan;False;default;default;default
consumer24;heat_exchanger_simple;['network consumer'];[None];[-6000.000000000001];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-6000.000000000001;True;False;0.8793385741134121;False;False;21779702245.071808;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF1527B8;False;m;nan;False;-17.677674898195047;False;nan;False;nan;False;default;default;default
consumer26;heat_exchanger_simple;['network consumer'];[None];[-4999.999999999999];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-4999.999999999999;True;False;0.8781144284708884;False;False;29919199088.104004;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152860;False;m;nan;False;-14.742143432324287;False;nan;False;nan;False;default;default;default
consumer28;heat_exchanger_simple;['network consumer'];[None];[-6000.000000000001];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-6000.000000000001;True;False;0.8760426174935574;False;False;21256808945.91477;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF1529B0;False;m;nan;False;-17.684365408416152;False;nan;False;nan;False;default;default;default
consumer30;heat_exchanger_simple;['network consumer'];[None];[-4000.0];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-4000.0;True;False;0.8752122596611394;False;False;43059561985.85954;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152908;False;m;nan;False;-11.808248517578418;False;nan;False;nan;False;default;default;default
consumer32;heat_exchanger_simple;['network consumer'];[None];[-2500.0000000000005];['0x00000209D0AB4668'];['component'];[];[];nan;False;False;-2500.0000000000005;True;False;0.8744529507184845;False;False;95913627295.40073;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000209CF152630;False;m;nan;False;-7.39471492011814;False;nan;False;nan;False;default;default;default
