label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
consumer5;heat_exchanger_simple;['network consumer'];[None];[-5000.000000000002];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-5000.000000000002;True;False;0.8832620501499175;False;False;31517028759.756783;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F2274E0;False;m;nan;False;-14.730259568973187;False;nan;False;nan;False;default;default;default
consumer15;heat_exchanger_simple;['network consumer'];[None];[-40000.0];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-40000.0;True;False;0.847315360681406;False;False;497836043.57859796;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227128;False;m;nan;False;-117.82208441105402;False;nan;False;nan;False;default;default;default
consumer17;heat_exchanger_simple;['network consumer'];[None];[-14499.999999999995];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-14499.999999999995;True;False;0.8555350037533712;False;False;3369044522.263379;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227320;False;m;nan;False;-42.7873841107559;False;nan;False;nan;False;default;default;default
consumer21;heat_exchanger_simple;['network consumer'];[None];[-17500.000000000004];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-17500.000000000004;True;False;0.8796174164402295;False;False;2775226335.4231486;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227160;False;m;nan;False;-51.49348598484662;False;nan;False;nan;False;default;default;default
consumer22;heat_exchanger_simple;['network consumer'];[None];[-9999.999999999998];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-9999.999999999998;True;False;0.8794797179997573;False;False;8143494195.491764;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227C18;False;m;nan;False;-29.445146436955987;False;nan;False;nan;False;default;default;default
consumer24;heat_exchanger_simple;['network consumer'];[None];[-6000.000000000001];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-6000.000000000001;True;False;0.8793385741134061;False;False;21779702245.099846;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F2271D0;False;m;nan;False;-17.677674898198973;False;nan;False;nan;False;default;default;default
consumer26;heat_exchanger_simple;['network consumer'];[None];[-5000.0];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-5000.0;True;False;0.8781144284708744;False;False;29919199087.877056;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227048;False;m;nan;False;-14.742143432317357;False;nan;False;nan;False;default;default;default
consumer28;heat_exchanger_simple;['network consumer'];[None];[-5999.999999999998];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-5999.999999999998;True;False;0.8760426174935352;False;False;21256808945.92351;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227208;False;m;nan;False;-17.684365408411665;False;nan;False;nan;False;default;default;default
consumer30;heat_exchanger_simple;['network consumer'];[None];[-3999.9999999999995];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-3999.9999999999995;True;False;0.8752122596611089;False;False;43059561985.44393;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227EF0;False;m;nan;False;-11.808248517575489;False;nan;False;nan;False;default;default;default
consumer32;heat_exchanger_simple;['network consumer'];[None];[-2499.999999999999];['0x000001DE0F1AF908'];['component'];[];[];nan;False;False;-2499.999999999999;True;False;0.8744529507184506;False;False;95913627295.5439;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001DE0F227390;False;m;nan;False;-7.394714920116594;False;nan;False;nan;False;default;default;default
