label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe1_feed;pipe;['network losses'];[None];[-681.3942881796743];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-681.3942881796743;False;False;0.9975148582583975;False;False;687523.4318764833;False;False;0.0697;True;False;29.427877939124322;True;False;0.00069;True;False;8.522527293294425;True;False;0x000001DE0F227B70;False;m;0;True;-1.9216530405058756;False;2.4945791256806675;False;0.5729260851747919;False;default;default;default
pipe1_back;pipe;['network losses'];[None];[-448.5055118354292];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-448.5055118354292;False;False;0.9963930082550128;False;False;693236.6453314881;False;False;0.0697;True;False;29.427877939124322;True;False;0.00069;True;False;8.522527293294802;True;False;0x000001DE0F227B00;False;m;0;True;-1.3681602063256946;False;1.641975148582937;False;0.27381494225724246;False;default;default;default
pipe2_feed;pipe;['network losses'];[None];[-680.5791760889668];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-680.5791760889668;False;False;0.9974476650831928;False;False;704400.4665423209;False;False;0.0697;True;False;30.14962686336267;True;False;0.00069;True;False;8.522527293296019;True;False;0x000001DE0F227B38;False;m;0;True;-1.9196671340571863;False;2.4915950067324433;False;0.571927872675257;False;default;default;default
pipe3_feed;pipe;['network losses'];[None];[-679.7689564361527];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-679.7689564361527;False;False;0.9901113954838251;False;False;2722279.3714296147;False;False;0.0697;True;False;116.51609330903607;True;False;0.00069;True;False;8.52252729329296;True;False;0x000001DE0F227BE0;False;m;0;True;-1.894155781895197;False;2.4886287989608378;False;0.5944730170656407;False;default;default;default
pipe6_feed;pipe;['network losses'];[None];[-580.3737311970468];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-580.3737311970468;False;False;0.9942484026327922;False;False;12853940.96822007;False;False;0.036;True;False;16.0312195418814;True;False;0.00069;True;False;7.291367744887085;True;False;0x000001DE0F227BA8;False;m;0;True;-1.6388532415197392;False;2.124743661713516;False;0.4858904201937768;False;default;default;default
pipe7_feed;pipe;['network losses'];[None];[-578.6936163873453];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-578.6936163873453;False;False;0.9503542326152546;False;False;110327863.43494171;False;False;0.036;True;False;137.59360450253493;True;False;0.00069;True;False;7.291367744887014;True;False;0x000001DE0F227AC8;False;m;0;True;-1.5862892118156569;False;2.118592774619606;False;0.532303562803949;False;default;default;default
pipe18_feed;pipe;['network losses'];[None];[-610.1951147072716];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-610.1951147072716;False;False;0.9904473933159244;False;False;6716943.305777781;False;False;0.0419;True;False;19.0;True;False;0.00069;True;False;7.674025442365524;True;False;0x000001DE0F227A20;False;m;0;True;-1.7114944280536035;False;2.233919512016371;False;0.5224250839627673;False;default;default;default
pipe19_feed;pipe;['network losses'];[None];[-609.1408393030636];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-609.1408393030636;False;False;0.9864559594030651;False;False;9433351.486862661;False;False;0.0419;True;False;26.68332812825267;True;False;0.00069;True;False;7.674025442363911;True;False;0x000001DE0F227A90;False;m;0;True;-1.7015900506161858;False;2.230059818059907;False;0.5284697674437213;False;default;default;default
pipe8_feed;pipe;['network losses'];[None];[-577.0199547752763];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-577.0199547752763;False;False;0.9901443334481875;False;False;20817766.91929718;False;False;0.036;True;False;25.96150997149434;True;False;0.00069;True;False;7.291367744887026;True;False;0x000001DE0F227A58;False;m;0;True;-1.6274822086353582;False;2.112465512631435;False;0.4849833039960767;False;default;default;default
pipe9_feed;pipe;['network losses'];[None];[-575.3309112091442];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-575.3309112091442;False;False;0.995367787321806;False;False;9689428.566698894;False;False;0.036;True;False;12.083045973594572;True;False;0.00069;True;False;7.291367744886973;True;False;0x000001DE0F2279E8;False;m;0;True;-1.6293420795388986;False;2.106281937430512;False;0.4769398578916133;False;default;default;default
