label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
K3_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9019123085818262;False;False;50246990.75897058;False;False;0x000001DE0F21C630;False;m;0.17118085865467983;False
K3_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;2.2052718586544344;False;False;-876378569.8485968;False;False;0x000001DE0F21C5F8;False;m;-0.46109584441438406;False
K4_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9118476827282206;False;False;21158984913.623158;False;False;0x000001DE0F21C668;False;m;0.008323294780404175;False
K4_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.2070712586888683;False;False;-98527596.20514818;False;False;0x000001DE0F21C198;False;m;-0.2889211061848057;False
K14_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.8696101884745315;False;False;334001130.9678401;False;False;0x000001DE0F21C080;False;m;0.06598637221300774;False
K14_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.7594974087358216;False;False;4773753333.253902;False;False;0x000001DE0F21C048;False;m;0.05370441891531092;False
K19_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.898598839009271;False;False;742685400.6706492;False;False;0x000001DE0F21C128;False;m;0.04434335953192033;False
K19_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9038440786565305;False;False;99145208.58502793;False;False;0x000001DE0F21C0F0;False;m;0.11162206654539401;False
K20_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9080235866025221;False;False;1862632098.5780296;False;False;0x000001DE0F21C0B8;False;m;0.027963811858767465;False
K20_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9104369071059427;False;False;5308166765.280429;False;False;0x000001DE0F21C160;False;m;0.015869243168627572;False
K23_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9083283648451784;False;False;14619669220.736797;False;False;0x000001DE0F117DA0;False;m;0.010005659501556036;False
K23_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.025711717601404;False;False;-31184575.429492243;False;False;0x000001DE0F1177B8;False;m;-0.02691325429516199;False
K25_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9073967358870029;False;False;20082276380.192192;False;False;0x000001DE0F26B4A8;False;m;0.008542568371450536;False
K25_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.04405499629434;False;False;-61204523.67625595;False;False;0x000001DE0E8B0F28;False;m;-0.041254420397543505;False
K27_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9052005524759974;False;False;14266839446.771866;False;False;0x000001DE0F1AF550;False;m;0.01012607908854994;False
K27_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0166678685592059;False;False;-28724964.682212822;False;False;0x000001DE0F1AF668;False;m;-0.014028565783595232;False
K29_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9048921579935649;False;False;28898718458.931892;False;False;0x000001DE0F1AF7F0;False;m;0.007127478389872332;False
